id,name,mgmt,moi,cat,sex,cluster_name,block_name,district_name,school_type,assembly_name,parliament_name,pincode,address,landmark,bus,coord
29329,GOVT LPS KONKANAGAON,ed,kannada,Lower Primary,co-ed,chadachan,bijapur  rural,bijapur,primary,Nagthan,Bijapur,586205,,,,POINT(75.6334486666667 17.2865193333333)
17172,GLPS MALIYAPPANAHALLI,ed,kannada,Lower Primary,co-ed,vemgal,kolar,kolar,primary,Kolar,Kolar,563101,,,,POINT(77.974735 13.209477)
6553,GHPS,ed,kannada,Upper Primary,co-ed,kuderu,chamaraja nagar,chamrajnagar,primary,Chamarajanagar,Chamarajanagar,571313,,,,POINT(76.9001982142857 11.9593721428571)
13053,LPS R.NULENURU LAMBANIHATTI,ed,kannada,Lower Primary,co-ed,ramagiri,holalkere,chitradurga,primary,Holalkere,Chitradurga,577539,,,,POINT(76.1317973333333 13.99616)
25122,GOVT LPS PARTHNAYKA TANDA,ed,kannada,Lower Primary,co-ed,rajankolur,shorapur,yadgiri,primary,Shorapur,Raichur,585237,,,,POINT(76.4545319047619 16.3562011904762)
34398,G HPS BELAGUMBA,ed,kannada,Upper Primary,co-ed,byalakere,magadi,ramnagara,primary,Magadi,Bangalore Rural,562120,,,,POINT(77.2462003333333 12.9947833333333)
6867,GHPSBASATHIPURA,ed,kannada,Upper Primary,co-ed,kollegal-1,kollegal,chamrajnagar,primary,Kollegal,Chamarajanagar,571440,,,,POINT(77.1080451111111 12.140721)
34754,G HPS HUNASANAHALLI,ed,kannada,Upper Primary,co-ed,kodamballi,channapatna,ramnagara,primary,Channapatna,Bangalore Rural,562138,,,,POINT(77.2096156666667 12.5459433333333)
11158,GHPS RAMAPURA,ed,kannada,Upper Primary,co-ed,idagur,gowribidanur,chikballapur,primary,Gauribidanur,Chikkballapur,561210,,,,POINT(77.4407905 13.616469)
34745,G HPS CHIKKENAHALLI,ed,kannada,Upper Primary,co-ed,bevooru,channapatna,ramnagara,primary,Channapatna,Bangalore Rural,562108,,,,POINT(77.164647 12.7076915)
10409,GLPS CHINTAMAKALADINNE,ed,kannada,Lower Primary,co-ed,marganukunte,bagepally,chikballapur,primary,Bagepalli,Chikkballapur,561207,,,,POINT(77.836603 13.8847976666667)
25654,GLPS KESHWAR TANDA,ed,kannada,Lower Primary,co-ed,putpak,yadgir,yadgiri,primary,Gurmitkal,Gulbarga,585214,,,,POINT(77.4205963333333 16.819803)
17138,GHPS GONAMAKANAHALLI,ed,kannada,Upper Primary,co-ed,gonamakanahalli,k g f,kolar,primary,,,,,,,
17501,GLPS CHAMARAHALLI,ed,kannada,Lower Primary,co-ed,abbani,kolar,kolar,primary,Bangarapet,Kolar,563101,,,,POINT(78.2307 13.0769333333333)
